Review_title,Review_content
"This was Wandavision 2, not Doctor Strange 2",
"Well, it was shiny and colourful",
Not enough multiverse and maybe too much madness,"Sam Raimi definitely put a splash of horror in this action film. Doctor Strange in the Multiverse of Madness is darker & more violent than any previous MCU movie, which could be considered a strength. However, I felt like there was not enough multiverse and maybe too much madness. Despite the entertaining visuals, the plot is fairly chaotic, and the acting & dialogue are inconsistent. This movie is an entertaining ride, but it's a little too messy to stand on its own."
"Scarlet Witch: The Movie, ft: Sorcerer Supremes",
"Terrible plot and script, boring and pointless","I always had some issues with MCU films but now they aren't even entertaining? Oh Raimi, what a disappointment. I honestly only liked the horror elements and being able to see some blood in a MCU film. Nothing else.

The plot is super weak - the worst of the film - but the script is also very erroneous with some strange and unexplainable writing decisions. There are some interesting shots - some Dutch angles and POV are cool - but this feel stupidly long for a film that is just 2 hours long. It's like watching the action going from setpiece to setpiece in a very inorganic way while travelling between boring universe with a lot of cringe dialogue. I don't even get the point of all this story for the entire universe and even the score - surprisingly considering that is Elfman - is super generic.

I won't lie: I had much more fun watching Eternals, Captain Marvel or Wonder Woman 1984 than this one. Said it."
"Convuluted story, just like the multiverse",
"somewhere in the multiverse, there's a better version of this movie that exists.","The overall pacing is relentless and the sequel shows its hand a lot earlier than you'd expect. There's been endless speculation from fans about the villain, which i won't spoil here, but it's revealed surprisingly quickly.

You can't help that feel somewhere in the multiverse, there's a better version of this movie that exists."
Seems Rushed For A Two-Hour Movie,
Very uninteresting,
Time to retire the MCU,"After months of hype, we are left with a mess of a story that is mostly just CGI blobs, some light shows and some boring dialogue. I loved the first Strange movie, it's my second favorite after Captain America Winter Soldier. So this was extra disappointing.

Firstly, you're not going to have any idea what's going on with the main antagonist unless you watched the Disney+ show Wandavision. Even though I did watch it, it had been months, and I didn't remember all the details, so her whole backstory fell flat. This movie was less about Strange and more about her.

There's also a subplot involving Strange's old flame, but since we only saw them as exes in the previous film, it Didn't really feel that impactful.

There's also an obligatory teen sidekick, which I guess is now standard in the Phase IV fully Disneyized MCU. She might have been interesting, but she's just there as a macguffiin and has no real personality.

There's also random cameos from other Marvel properties, I'm beginning to see these bits of crossover fan service are the sole purpose of having a multiverse.

Seriously, I don't know why I keep giving my money to this franchise. Black Widow, Eternals, Shang Chi and now Dr Strange 2, have all been dull, uninspired CGI crap fests, that rely entirely on cameos and fan service to keep people coming back. Let's just face it, Hollywood milked all they could from Marvel. It's time to give the franchise ( and maybe all superhero movies)a good 10-15 year rest and reboot it after audiences grow nostalgic."
Pretentious nonsensical hokum,"Richard Burton wasted his talents on alcohol. Let's hope Benedict Cumberbatch doesn't waste his talent on Marvel. What does it take, time wise, for him to make one of these derivative, adolescent wastes of cinematic energy? How many real films might he make, how many plays might he contribute to, were he not involved in this childish pablum?"
Scooby Doo Meets Ghost Busters in nonsense fest,"I rolled my eyes at this film in disbelief.

This is just a fan service film , an absolute nonsense 'fan mash up'.

Incoherent from start to finish, at best the plot was non sensical, at worst non-existant.

What makes it more bizarre is the cast of such good actors in such an appalling film.

Do not waste your money.2/10

If this wasn't enought the CGI was shockingly bad and make up appalling and make up prosthetics amateur.

I gather they did multiple reshoots of the film at the last minute, clearly this has been a disaster."
Disappointing,"I can't believe I am writing a bad Marvel review but I can't lie, this movie was really disappointing. A couple of surprises but I was expecting way more after watching No way home.... Didn't mind the horror side of the story, actually made me laugh. As for the music , I am a huge fan of Danny Elfman but even the music was bad.

I won't watch this one again. Marvel we are used to greatness please don't do that again!"
Multiverse of... Something-ness,"Doctor Strange 2 is the MCU's latest balls-to-the-wall crossover event, and it's noticeably not as well done as everything else was in Spider-Man: No Way Home. The effects and action are nice, but the story squanders a palpable script in favour of frustratingly fragmented (which multiverses can suffer from when stories don't address all the inherent issues of multiple worlds directly interacting with each other) fan-service and even more sequel-fodder with its abrupt cliff-hanger ending (pre-post-creds mind you, but still).

Doctor Strange 2 covers its concept of multiverses instead of telling a re-inventive character-driven story like Spider-Man: Into the Spider-Verse had. Doctor Strange 2's got splashes of self-aware humour here and there, but it's gonna have to take some magic to become a film comparable to the MCU's stronger entries.

The most notable thing about the film is how many opportunities it squanders with its many supporting characters introduced and then never really getting utilised in the story (except for one). It teases endless narrative possibilities courtesy of the last Spider-Man movie doing so with its lead, but Doctor Strange 2 teases fan service only to deliver shortcomings instead of going all the way with its promise of 'madness' in the title. The good stuff IS there; it just doesn't have enough story-breathing-room in the film.

Doctor Strange 2 is definitely a noble attempt at something 'new' for the MCU, and it's sure as hell more confident than Eternals, but it suffers the same character-squandering issues as it.

With a universe as vast as Marvel's, not every entry in the MCU was guaranteed to work. At least it tried."
Cannot explain my disappointment,"I could have actually cried watching this. Dr. Strange is one of my favourite Marvel movies but this was just plain awful. 1 hour in and I was debating leaving. Marvel are losing their touch, and ever since Endgame, it just hasn't felt the same, apart from NWH. Sam Raimi messed up big time."
"Another failure by Disney, Big Fail!","Let me say that it just doesn't follow any of the original Stan Lee Marvel Comics.

Possibly the Worst of all the Movies made this far.

I feel terrible for Dr. Strange and The Scarlet Witch for having their characters so discombobulated.

If you can just buy anything that Disney shoved down your throat, than you will love this movie.

Just Ughfull."
Hugely disappointing mess,
Dr Stupid in the Mashed Potatoes,Really!@#$ Can you make a more stupid film? Were the writers stoned and when they wrote the script? It's just one silly scene after another. Did I mention the terrible acting? Did they get paid for this? If it weren't for the great special effects this film would be completely worthless.
Dr strange 2 More like WandaVision 2,"I really miss the old MCU movies where it was making a stand alone super hero movie is simple, But after (End game) thing changed for better or worse.

-During watching the movie I kept wondering, whose movie is it?

-Sam Raimi did a great job.i liked the fight scene , the horror elements he adds to the movie it was creative,But it wasn't enough.

-The writing was bad and very cheesy.

-Where is (Vision ,loki ,TVA ) ??



-Don't watch it with high exceptions."
